date,name,venue,url
2024-07-05,Fürth Festival,,https://www.nn.de/fuerth/nach-dem-em-dampfer-prachtige-stimmung-und-reichlich-musik-beim-furth-festival-1.14333301
2022-12-27,E-Werk Erlangen,,https://85rewind.com/debut-album-out-now-2/
2020-04-24,Kelly Remote Session,,https://www.youtube.com/watch?v=634TIKTeRcs
2019-09-07,DG Duo Privatshow Bonn,,
2019-03-23,Privatshow Kabine Nürnberg,,
2017-01-07,DG Duo Support für Bounce,,
2017-01-07,Bounce Warmup Cobra Solingen,,
2017-01-06,Cobra Warm Up mit Bounce,,
2016-09-02,DG Duo City Fest Hückelhofen,,
2016-06-20,Glockenbachwerkstatt München,,
2016-01-10,Bounce Cobra Solingen,,
2016-01-09,Bounce Warmup Cobra Solingen,https://www.youtube.com/watch?v=P0uvwAMH27Q
2015-12-31,Rational Video Release,,https://www.youtube.com/watch?v=qjVAk783MnU
2015-11-21,DG Duo Bounce Support Sedgwick Aschaffenburg,,
2015-11-20,DG Duo Bounce Support Ducsaal Freudenburg,,
2015-11-07,DG Duo Bounce Support Musiktheater Rex Bensheim,,
2015-11-06,DG Duo Bounce Support Musicpark Live Maulbronn,,
2015-01-10,Opener Bounce Cobra Solingen,,
2015-01-09,Warm Up Bounce Cobra Solingen,,
2014-11-15,DG Duo Bounce Support Musicpark Live Maulbronn,,
2014-11-14,DG Duo Bounce Support Musiktheater Rex Bensheim,,
2014-11-08,DG Duo Bounce Support Sedgwick Aschaffenburg,,
2014-11-07,DG Duo Bounce Support Ducsaal Freudenburg,,
2014-11-01,Saitenwechsel E-Werk Erlangen,,
2014-08-02,DG Duo Bardentreffen,,
2014-08-01,Altstadtfest Schloßplatz Hersbruck,,
2014-04-17,Klüpfel Nürnberg,,
2014-01-16,Thomas Godoj Hirsch Nürnberg,,
2013-12-07,Last Christmas Cover,,https://www.youtube.com/watch?v=nrM1gk_yeDs
2013-11-29,Benefiz-Konzert MUZ Club Nürnberg,,
2013-11-16,DG Duo Bounce Support Musicpark Live Maulbronn,,
2013-09-19,Lokale Leidenschaften MUZ Club Nürnberg,,
2013-08-02,Stadtfest Hersbruck,,
2013-03-01,Direcor's Cut - Release Party & Concert,MUZ CLUB Nürnberg,https://www.youtube.com/watch?v=omcVLglzb7U
2013-02-09,Regiocharts Festival,MUZ Club Nürnberg,https://www.facebook.com/events/408579849229681/
2012-08-12,Radio NRG Nürnberg,,
2012-06-22,DG Duo GSO Absolventenfeier Nürnberg,,
2012-04-20,K4 Kulturzentrum Nürnberg,,
2012-02-25,Gardeners Your Dream Release K4 Zentralcafé Nürnberg,,
2012-02-16,Quibble Nürnberg,,
2011-01-16,Hold On To Me Video Release,,https://www.youtube.com/watch?v=Dc67fxkikUE
2010-04-23,DG Duo GSO/Zentralmensa Party Nürnberg,,
2010-03-10,Cult Nürnberg,,
2009-07-11,Rock's Alive Festival Ostheim v. d. Rhön,,
2009-05-22,Z-Bau Roter Salon Nürnberg,,
2009-05-20,PHR Schulfest Nürnberg,,
2008-11-28,Südwild, BR (TV Show) Ansbach,,
2008-08-15,Sommerfühl Festival,,
2008-06-13,Umsonst & Draußen Würzburg,,
2008-05-02,Lauschich Nürnberg,,
2008-04-26,Bar 75B / Dustclub Nürnberg,,
2007-12-29,Avalon's Dust Nürnberg,,
2007-10-20,Avalon's Dust Nürnberg,,
2007-03-31,Z-Bau Roter Salon Nürnberg,,